"Member Name","Event Sponsor","Registrations","Guests","Invited - Not Registered","Attended","Fees","Member Addr1","Member Addr2","Member City","Member State/Province","Member Postal Code","Member Phone","Member Email"
"The Conference Center at Waltham Woods","0","2","2","0","0","55.00",860 Winter Street,,Waltham,MA,02451,(781) 434-7499,conferencecenter@mms.org
"Schooley Mitchell","0","7","7","0","0","120.00","71 Bennett Street, Unit 1",,Waltham,MA,02453,(617) 812-1544,
"The Flossery","0","2","2","0","0","40.00","32 South Street, Suite 100",,Waltham,MA,02453,(781) 894-0500,hello@myflossery.com
"Patio Records","0","3","3","0","0","325.00",240 Mokema Ave,,Waltham,Massachusetts,02451,6179309723,terryeagan@patiorecords.com
"Waltham Tourism Council","0","1","3","0","0","220.00",,,,,,,
"WATCH CDC","0","6","8","0","0","0.00","24 Crescent Street, Suite 201",,Waltham,MA,02453,(781) 891-6689,daria@watchcdc.org
"Watertown Savings Bank/David DeMarco","0","2","2","0","0","30.00",6 Lexington Street,,Waltham,MA,02452-4416,(617) 928-2470,ddemarco@watertownsavings.com
"City Counci/Patrick O'Brien","0","1","1","0","0","100.00",95 Wetherbee Road,,Waltham,MA,02453,(781) 891-5139,
"Opportunities for Inclusion (Formerly GWArc)","0","37","57","0","0","2095.00",56 Chestnut Street,,Waltham,MA,02460,(781) 899-1344,jraymond@oppsforinclusion.org
"Better Business Bureau","0","1","1","0","0","30.00","290 Donald Lynch Blvd., Suite 102",,Marlborough,MA,01752-4705,(508) 652-4800,info@bosbbb.org
"btcRE LLC","0","3","4","0","0","115.00",50 Hunt Street,,Watertown,MA,02472,(617) 997-6824,brian@btcre.com
"AFC Urgent Care","0","2","2","0","0","150.00",1030 Main Street,,Waltham,MA,02451,(781) 894-6900,DAdams@AFCurgentcare.com
"Holiday Inn Express","0","13","14","0","0","1005.00",385 Winter Street,,Waltham,MA,02451-8714,(781) 890-2800,exwaltham.wtmma@plhghotels.com
"Rockland Trust","0","12","15","0","0","405.00",75 Moody Street,,Waltham,MA,02453,(781) 392-3700,
"Communities United, Inc.","0","2","3","0","0","60.00","4 Militia Drive, Suite 1",,Lexington,MA,02421,(617) 744-6076,terrinatale.cui@gmail.com
"Koundakjian & Company P.C.","0","14","22","0","0","635.00","9 Meriam Street, Suite #2",,Lexington,MA,02420,(781) 861-1170,patsy@koundakjiancpa.com
"Waverley Oaks Athletic Club","0","1","1","0","0","25.00","425 Waverley Oaks Road, Suite 200",,Waltham,MA,02452,(781) 894-7010,adamhealy@waverleyoaks.com
"The Goddard School in Weston","0","3","12","0","0","2300.00",2 North Avenue,,Weston,MA,02493,(781) 296-8790,westonma@goddardschools.com
"Boston Rhythmic","0","1","2","0","0","70.00",16 Pine St,,Waltham,MA,02453,(617) 963-6672,smaranda1@gmail.com
"Organize YourShelf","0","3","3","0","0","100.00",,,,,,(781) 222-4284,Hello@OrganizeYourShelf.com
"Jessica Foley, MA, LMHC","0","2","2","0","0","20.00",36 Beaver Street,,Waltham,MA,02453,(617) 877-0071,jfoley@jessicafoley.com
"Baystate Financial","0","1","1","0","0","10.00",134 Turnpike Turnpike Road,,Southborough,MA,01772,(413) 301-4579,jfoley@baystatefinancial.com
"EventThem Inc.","0","1","1","0","0","10.00",342 Salem Street,,Medford,MA,02155,(888) 553-8368,bryan@eventthem.com
"Joseph Niedbala","0","1","1","0","0","30.00",11 UNDERWOOD PARK APT 2,,WALTHAM,MA,02453,5089582659,scortch1@comcast.net
"Waltham Rotary Club","0","5","6","0","0","140.00",PO Box 540262,,Waltham,MA,02454,(617) 928-2338,cbraceland@watertownsavings.com
"42 Felton, LLC","0","1","1","0","0","350.00",42 Felton Street,,Waltham,MA,02453,(781) 474-0151,zariaw@transatlantic.management
"Charles River Museum of Industry and Innovation","0","5","6","0","0","85.00",154 Moody Street,,Waltham,MA,02453-5302,(781) 893-5410,info@charlesrivermuseum.org
"Copy-Pro, Inc.","0","4","6","0","0","420.00",46 Fowle St,,Woburn,MA,01801,(781) 938-7555,info@copy-pro.com
"ND Landscaping","0","1","1","0","0","30.00",2 Martel Way,,Georgetown,MA,01833,(978) 382-8700,aferrante@ndlandscape.com
"Waltham Land Trust","0","9","10","0","0","25.00",PO Box 541120,,Waltham,MA,02454,(781) 893-3355,info@walthamlandtrust.org
"Charles River Community Health","0","1","1","0","0","25.00",43 Foundry Avenue,,Waltham,MA,02453,(781) 693-3800,ebrowne@jmschc.org
"Don Berstein Pictures - donbernsteinpictures.com","0","1","1","0","0","10.00",1 Sewall Street,,Burlington,MA,01803,(508) 423-0655,db@donbernsteinpictures.com
"Chapel Hill-Chauncy Hall School","0","3","11","0","0","215.00",785 Beaver Street,,Waltham,MA,02452-5639,(781) 314-0800,gpojasek@chch.org
"Waltham Lions Club","0","6","12","0","0","1015.00",P. O. 540043,,Waltham,MA,02454-0043,(781) 891-5810,lionswaltham@gmail.com
"North Atlantic States Regional Council of Carpenters - North Eastern MA Local 339","0","2","7","0","0","70.00",350 Fordham Road,,Wilmington,MA,01887,(978) 229-5200,KKelley@nasrcc.org
"Ruth's Chris Steak House","0","1","1","0","0","0.00",500 Totten Pond Road,,Waltham,MA,02451,(781) 622-9775,gmwaltham@ruthschris.com
"Waltham City Council - Kathy McMenimen","0","1","1","0","0","35.00",,,Waltham,MA,02453-3537,,
"Clarks Americas, Inc.","0","1","1","0","0","0.00",60 Tower Road,,Waltham,MA,02451,(617) 243-4386,
"Crystal Point Bookkeeping","0","1","1","0","0","30.00",195 Weston Street,,Waltham,MA,02453,(781) 386-7110,crystalpointbookkeeping@gmail.com
"Hilton Garden Inn  Boston/Waltham","0","2","5","0","0","210.00",450 Totten Pond Road,,Waltham,MA,02451-2000,(781) 890-0100,
"Jewish Family & Children's Service","0","3","3","0","0","55.00",1430 Main Street,,Waltham,MA,02451,(781) 647-5327,info@jfcsboston.org
"Alexandria Real Estate Equities, Inc.","0","1","1","0","0","25.00","215 First Street, Suite 100",,Cambridge,MA,02142,(617) 252-4902,
"Andrea Parent","0","1","1","0","0","100.00",175 Prospect Hill Road,,WALTHAM,MA,02451,7813732407,aparentdesign@mac.com
"Alzheimer's Association MA/NH Chapter","0","3","6","0","0","500.00","309 Waverley Oaks Rd., Suite 301",,Waltham,MA,02452,(617) 393-2026,maoneil@alz.org
"Get In Shape For Women","0","1","1","0","0","75.00",16 Bird Hill Rd,,Lexington,Ma,02421,781-640-3726,GISFWLEX@gmail.com
"Waltham Partnership for Youth, Inc.","0","10","15","0","0","175.00",617 Lexington Street,,Waltham,MA,02452,(781) 314-3367,partnershipforyouth@city.waltham.ma.us
"Game Underground","0","1","1","0","0","0.00",349 Moody St,,Waltham,MA,02453,(508) 283-1503,gameundergroundstore@yahoo.com
"The Federal","0","4","4","0","0","50.00",74 Tower Road,,Waltham,MA,02451,(781) 373-1245,richard@the-federalrestaurant.com
"Real Kids Real Food","0","1","1","0","0","10.00","337 Newton St., #4",,Waltham,MA,02453,(617) 835-2913,
"VA Boston Healthcare - VetsCARE","0","2","2","0","0","60.00",96 Galen Street,,WALTHAM,MA,02451,(617) 390-4169,k.durkee.erwin@gmail.com
"Massachusetts Clubhouse Coalition","0","2","2","0","0","35.00",15 Vernon Street,,Waltham,MA,02453,(617) 872-0190,
"Escapology Waltham","0","1","1","0","0","30.00",434 Main Street,,Tewksbury,MA,01876,(978) 455-2199,waltham@escapology.com
"The Waltham Museum","0","6","8","0","0","305.00",25 Lexington Street,,Waltham,MA,02452,(781) 893-9020,info@walthammuseum.org
"The Baker Center for Children and Families","0","2","2","0","0","60.00",781-483-7294,,Waltham,MA,02453-3537,(781) 483-7294,giving@bakercenter.org
"Inner Monkeys Multimedia","0","1","1","0","0","30.00",20 Cooper Street,Unit 228,Waltham,MA,02453,(781) 813-9429,hannah@innermonkeys.com
"Painted Burro Mexican Kitchen & Tequila Bar","0","3","3","0","0","10.00",99 Third Avenue,,Waltham,MA,02451,(781) 622-1500,trish@thepaintedburro.com
"The Wright","0","3","6","0","0","90.00","341 Second St., Leasing Office",,Waltham,MA,02451,(781) 720-1000,Thewright@greystar.com
"Domenics","0","1","1","0","0","0.00",987 Main St,,Waltham,MA,02451,(781) 899-3817,Ciro@getdoms.com
"Waltham Public Schools","0","2","2","0","0","0.00",617 Lexington Street,,Waltham,MA,02452-3099,(781) 314-5400,
"Ellie Fund, Inc.","0","4","4","0","0","135.00","200 Reservoir Street, #300",,Needham,MA,02494,1-781-449-0100,kathy@elliefund.org
"Esquire Moving Inc.","0","2","6","0","0","70.00",25 Summer Ave,,Waltham,MA,02452,(617) 952-1505,info.esquiremoving@gmail.com
"Friends of the Waltham Family School, Inc.","0","12","15","0","0","490.00",510 Moody Street,,Waltham,MA,02453,(781) 314-5696,friendsofthewfs@gmail.com
"Greg Nanigian & Associates","0","1","1","0","0","10.00",400 WASHINGTON ST STE 302,,BRAINTREE,MA,021844768,(617) 338-0993,cs1@gnatraining.com
"HumanKind, LLC","0","7","7","0","0","145.00",7 Shore Ln,,Clinton,MA,01510,(617) 909-3583,youarehumankind@gmail.com
"Foster Dykema Cabot & Partners, LLC","0","2","5","0","0","60.00","1075 Main Street, Suite 200",,Waltham,MA,02451,(617) 423-3900,dguerin@fdcpartners.com
"More Than Words","0","1","1","0","0","150.00",56 Felton Street,,Waltham,MA,02453,(781) 788-0035,jodi@mtwyouth.org
"84-1 South Street LLC","0","1","1","0","0","100.00",,,Waltham,MA,02453-3537,,
"Residence Inn Fairfield by Marriott Boston","0","10","11","0","0","560.00",250 Second Avenue,,Waltham,MA,02451,(781) 202-5140,mgendrin@colwenhotels.com
"Citixen Joy LLC","0","1","1","0","0","0.00",90 Taylor Street,Unit 3,Waltham,MA,02453,(617) 312-9929,steph@citixenjoy.com
"Moody Street Dental on ELM","0","1","1","0","0","30.00",52 Elm Street,,Waltham,MA,02453,(781) 894-0889,mshulkindds@gmail.com
"Simpson Gumpertz & Heger Inc.","0","7","16","0","0","2585.00",480 Totten Pond Road,,Waltham,MA,02451,(781) 907-9000,jmporter@sgh.com
"Boston's Original Mensches with Wrenches","0","1","1","0","0","35.00","566 Auburn Street, Unit 3",,Newton,MA,02466,(781) 267-0779,lsaloman@hotmail.com
"The Baker Center For Children & Families","0","5","6","0","0","90.00","746 South St., 2nd Floor",,Waltham,MA,02453-1422,(617) 278-4288,
"Healthy Waltham","0","2","2","0","0","125.00",510 Moody Street,,Waltham,MA,02453,(781) 314-5647,info@healthy-waltham.org
"Yolanda Enterprises Personal Shopper","0","17","23","0","0","960.00","125 Coolidge Avenue, Apt. 809",,Watertown,MA,02472,(617) 777-8045,glamour@yolandas.com
"Waltham YMCA","0","13","25","0","0","2845.00",725 Lexington Street,,Waltham,MA,02452-4858,(781) 894-5295,dbautz@ymcaboston.org
"National Financial Network","0","6","6","0","0","440.00",21 Church St,Apt 3,Waltham,MA,02452,(617) 710-3045,tress.erin@gmail.com
"The Tea Leaf","0","2","2","0","0","30.00",487 Moody Street,,Waltham,MA,02453-0402,(781) 891-1900,robin@thetealeaf.us
"African Cultural Services","0","11","15","0","0","475.00",703 Main Street,,Waltham,MA,02451,(781) 298-1545,africaculture2014@gmail.com
"Mayor's Office - Waltham City Hall","0","1","1","0","0","25.00",610 Main Street,,Waltham,MA,02452,(781) 893-4040,mayor@city.waltham.ma.us
"IntePros Inc.","0","1","4","0","0","1000.00","400 Fifth Avenue, Suite 340",,Waltham,MA,02451,(781) 761-1140,jsarnoski@intepros.com
"NAP Interiors LLC","0","1","1","0","0","10.00",21 pigeon ln,,Waltham,MA,02452,(617) 605-8681,nyerie@napinteriors.co
"Hyatt House Boston/Waltham","0","15","19","0","0","510.00",54 4th Avenue,,Waltham,MA,02451-7507,(781) 290-0026,
"Pizzi Farm Market, Deli & Ice Cream Shoppe","0","4","6","0","0","170.00",549 Lincoln Street,,Waltham,MA,02451,(781) 891-1032,rick@pizzifarm.com
"Middlesex Human Service Agency","0","9","23","0","0","1395.00",50 Prospect Street,,Waltham,MA,02453,(781) 894-6110,gsears@mhsainc.org
"Massachusetts Medical Society","0","2","2","0","0","130.00",860 Winter Street,,Waltham,MA,02451-1411,(781) 893-4610,mic@mms.org
"Phantom Gourmet","0","2","7","0","0","105.00",P.O. Box 269,,Allston,MA,02134,(617) 787-7332,tina@phantomgourmet.com
"Copper House Tavern","0","3","3","0","0","10.00",380 Winter Street,,Waltham,MA,02451,(781) 890-8989,
"Sumner & Naujokaite CPA LLC","0","5","9","0","0","330.00","564 Main Street, Suite 201",,Waltham,MA,02452,(781) 893-0093,indrenaujokaite@cpa.com
"GZA","0","1","4","0","0","700.00",,,,,,(603) 494-1995,jay.hodkinson@gza.com
"Coats Associates","0","1","1","0","0","30.00",8 Graham Road,,Lexington,MA,02420-1712,1-781-879-0429,
"Birdie Bar","0","1","4","0","0","1400.00","411 Waverley Oaks Rd., Suite 131",,Waltham,MA,02452,(781) 703-5983,Info@birdiebar.com
